Id,Country,CountryCode,GDP,Homicides,Suicides,Guns per 100,Cultural.Diversity.Index,Continent,latitude,longitude,Developed
48,New Zealand,New,38500,0.11,0.84,22.6,0.363,OCEANIA                            ,-40.900557,174.885971,No
49,Nicaragua,Nic,36203.27869,3.72,0.34,7.7,0.095,LATIN AMER. & CARIB    ,12.865416,-85.207229,No
50,Norway,Nor,70600,0.1,1.63,31.3,0.098,WESTERN EUROPE                     ,60.472024,8.468946,Yes
51,Panama,Pan,36203.27869,14.36,0.57,21.7,0.168,LATIN AMER. & CARIB    ,8.537981,-80.782127,No
52,Paraguay,Par,36203.27869,5.78,1.16,17,0.039,LATIN AMER. & CARIB    ,-23.442503,-58.443832,No
53,Peru,Per,36203.27869,4.22,0.07,18.8,0.506,LATIN AMER. & CARIB    ,-9.189967,-75.015152,No
54,Philippines,Phi,36203.27869,8.9,1.0575,4.7,0.116,ASIA (EX. NEAR EAST)         ,12.879721,121.774017,No
55,Poland,Pol,29300,0.04,0.09,1.3,0.041,EASTERN EUROPE                     ,51.919438,19.145136,Yes
56,Portugal,Por,30300,0.42,1.01,8.5,0.04,WESTERN EUROPE                     ,39.399872,-8.224454,Yes
57,Qatar,Qat,124900,0.15,1.0575,19.2,0.22458,NEAR EAST                          ,25.354826,51.183884,No
58,Romania,Rom,36203.27869,0.04,0.06,0.7,0.265,EASTERN EUROPE                     ,45.943161,24.96676,Yes
59,Serbia,Ser,36203.27869,0.61,2.49,58.21,0.22458,EASTERN EUROPE                     ,44.016521,21.005859,No
60,Singapore,Sin,90500,0.02,0.12,0.5,0.388,ASIA (EX. NEAR EAST)         ,1.352083,103.819836,No
61,Slovakia,Slo,32900,0.26,0.94,8.3,0.293,EASTERN EUROPE                     ,48.669026,19.699024,Yes
62,Slovenia,Slo,34100,0.2,2.34,13.5,0.17,EASTERN EUROPE                     ,46.151241,14.995463,Yes
63,South Africa,Sou,36203.27869,8.2,0.1,12.7,0.53,SUB-SAHARAN AFRICA                 ,-30.559482,22.937506,No
64,South Korea,Sou,39400,0.02,0.04,1.1,0.004,#N/A,35.907757,127.766922,No
65,Spain,Spa,38200,0.15,0.42,10.4,0.263,WESTERN EUROPE                     ,40.463667,-3.74922,Yes
66,Swaziland,Swa,36203.27869,37.16,1.0575,6.4,0.143,SUB-SAHARAN AFRICA                 ,-26.522503,31.465866,No
67,Sweden,Swe,51300,0.19,1.2,21,0.189,WESTERN EUROPE                     ,60.128161,18.643501,Yes
68,Switzerland,Swi,61400,0.21,2.74,24.45,0.418,WESTERN EUROPE                     ,46.818188,8.227512,Yes
69,Taiwan,Tai,49800,0.6,0.12,4.6,0.169,ASIA (EX. NEAR EAST)         ,23.69781,120.960515,No
70,Turkey,Tur,36203.27869,1.03,0.81,12.5,0.299,NEAR EAST                          ,38.963745,35.243322,No
71,Ukraine,Ukr,36203.27869,0.24,1.0575,6.6,0.22458,C.W. OF IND. STATES ,48.379433,31.16558,No
72,United Kingdom,gbr,43600,0.06,0.15,6.2,0.184,WESTERN EUROPE                     ,55.378051,-3.435973,Yes
73,United States,usa,59500,3.5,6.69,101,0.271,NORTHERN AMERICA                   ,37.09024,-95.712891,Yes
74,Uruguay,Uru,36203.27869,4.78,4.68,31.8,0,LATIN AMER. & CARIB    ,-32.522779,-55.765835,No
75,Venezuela,Ven,36203.27869,39,0.48,10.7,0.02,LATIN AMER. & CARIB    ,6.42375,-66.58973,No
76,Zimbabwe,Zim,36203.27869,0.3,0.09,4.6,0.141,SUB-SAHARAN AFRICA                 ,-19.015438,29.154857,No
