Code,RunkByGunOwenership,Country,Guns,Suicide,GDP,Homicide,latitude,longitude,HDI2015,gni2016,Developed
AFG,102, Afghanistan,4.6,5.5,572.163,6.55,33.93911,67.709953,0.479,580,no
AGO,33, Angola,17.3,20.5,4401.432,9.65,-11.202692,17.873887,0.533,3450,no
ALB,68, Albania,8.6,4.3,4520.268,2.28,41.153332,20.168331,0.764,4180,no
ARE,24, UnitedArabEmirates,22.1,2.9,37346.114,0.66,23.424076,53.847818,0.84,40480,yes
ARG,60, Argentina,10.2,14.2,14061.75,6.53,-38.416097,-63.616672,0.827,11970,no
ARM,50, Armenia,12.5,5.4,3690.298,2.45,40.069099,45.038189,0.743,3770,no
AUS,20, Australia,24.1,11.8,56135.416,0.98,-25.274398,133.775136,0.939,54230,yes
AUT,11, Austria,30.4,16.4,46435.925,0.51,47.516231,14.550072,0.893,45870,yes
AZE,112, Azerbaijan,3.5,3.3,4097.581,2.45,40.143105,47.576927,0.759,4760,no
BDI,142, Burundi,1.2,8,343.393,4.03,-3.373056,29.918886,0.404,280,no
BEL,35, Belgium,17.2,20.5,43243.304,1.95,50.503887,4.469936,0.896,41860,yes
BEN,134, Benin,1.4,9.4,825.835,6.01,9.30769,2.315834,0.485,820,no
BFA,146, BurkinaFaso,1.1,9.2,696.448,0.71,12.238333,-1.561593,0.402,620,no
BGD,166, Bangladesh,0.5,5.5,1532.132,2.51,23.684994,90.356331,0.579,1330,no
BGR,86, Bulgaria,6.2,15.9,7923.967,1.8,42.733883,25.48583,0.794,7580,no
BHS,94, Bahamas,5.3,1.8,24510.649,29.81,25.03428,-77.39628,0.792,26490,yes
BIH,34, BosniaandHerzegovina,17.3,6,4540.468,1.5,43.915886,17.679076,0.75,4940,no
BLR,76, Belarus,7.3,22.8,5585.236,3.58,53.709807,27.953389,0.796,5600,no
BLZ,61, Belize,10,7.3,4698.615,34.4,17.189877,-88.49765,0.706,4360,no
BOL,116, Bolivia,2.8,18.7,3412.238,12.4,-16.290154,-63.588653,0.674,3070,no
BRA,72, Brazil,8,6.3,10019.79,26.74,-14.235004,-51.92528,0.754,8840,no
BRB,73, Barbados,7.8,0.4,17158.813,10.91,13.193887,-59.543198,0.795,15210,yes
BRN,135, Brunei,1.4,1.3,27893.449,0.49,4.535277,114.727669,0.865,32860,yes
BTN,114, Bhutan,3.5,11.7,2886.819,2.75,27.514162,90.433601,0.607,2510,no
BWA,98, Botswana,4.9,9.7,7673.797,10.53,-22.328474,24.684866,0.698,6750,no
CAF,150, CentralAfricanRepublic,1,17.4,399.787,13.09,6.611111,20.939444,0.352,370,no
CAN,10, Canada,30.8,12.3,44773.26,1.68,56.130366,-106.346771,0.92,43680,yes
CHE,18,  Switzerland,24.45,15.1,80836.658,0.69,46.818188,8.227512,0.939,81240,yes
CHL,57, Chile,10.7,9.9,14314.752,3.59,-35.675147,-71.542969,0.847,13540,yes
CHN,99, China,4.9,10,8582.94,0.74,35.86166,104.195397,0.738,8250,no
CIV,121, Côted'Ivoire,2.4,18.1,1598.795,11.84,7.539989,-5.54708,0.474,1520,no
CMR,117, Cameroon,2.8,11.9,1262.564,5.93,7.369722,12.354722,0.518,1400,no
COD,136, DemocraticRepublicoftheCongo,1.4,9.8,466.391,13.36,-4.038333,21.758664,0.435,430,no
COG,119, Congo,2.7,9.6,1793.848,10.88,-0.228021,15.827659,0.592,1710,no
COL,88, Colombia,5.9,6.1,6237.586,26.5,4.570868,-74.297333,0.727,6310,no
COM,124, Comoros,1.8,7.4,777.468,7.6,-11.875001,43.872219,0.498,770,no
CPV,92, CapeVerde,5.4,8.5,3212.921,8.84,16.002082,-24.013197,0.648,2970,no
CRI,62, CostaRica,9.9,7.7,11856.789,11.77,9.748917,-83.753428,0.776,10840,no
CYP,4, Cyprus,36.4,4.7,24740.962,1.29,35.126413,33.429859,0.856,24320,yes
CZE,37, CzechRepublic,16.3,13.7,19818.364,0.75,49.817492,15.472962,0.878,17530,yes
DEU,13, Germany,30.3,13.4,44184.445,0.85,51.165691,10.451526,0.926,43940,yes
DNK,52, Denmark,12,12.3,56334.61,0.99,56.26392,9.501785,0.925,57020,yes
DOM,95, DominicanRepublic,5.1,6.8,7360.515,17.39,18.735693,-70.162651,0.722,6390,no
DZA,75, Algeria,7.6,3.1,4225.004,1.37,28.033886,1.659626,0.745,4220,no
ECU,139, Ecuador,1.3,7.5,5875.69,8.23,-1.831239,-78.183406,0.739,5800,no
ESP,59, Spain,10.4,8.5,28212.461,0.66,40.463667,-3.74922,0.884,27580,yes
EST,63, Estonia,9.2,18.9,19618.312,3.2,58.595272,25.013607,0.865,17760,yes
ETH,171, Ethiopia,0.4,8.4,860.557,7.6,9.145,40.489673,0.448,660,no
FIN,14, Finland,27.3,16.3,45692.892,1.6,61.92411,25.748151,0.895,45050,yes
