"Id","Country","CountryCode","GDP","Homicides","Suicides","Guns_Per_Capita","Cultural_Diversity_Index","Latitude","Longitude","developed_nation"
62,"Slovenia","Slo",34100,0.2,2.34,13.5,0.17,46.15,15,TRUE
63,"South Africa","Sou",13400,8.2,0.1,12.7,0.53,-30.56,22.94,FALSE
64,"South Korea","Sou",39400,0.02,0.04,1.1,0.004,35.91,127.77,TRUE
65,"Spain","Spa",38200,0.15,0.42,10.4,0.263,40.46,-3.75,TRUE
66,"Swaziland","Swa",9900,37.16,0.785,6.4,0.143,-26.52,31.47,FALSE
67,"Sweden","Swe",51300,0.19,1.2,21,0.189,60.13,18.64,TRUE
68,"Switzerland","Swi",61400,0.21,2.74,24.45,0.418,46.82,8.23,TRUE
69,"Taiwan","Tai",49800,0.6,0.12,9.9,0.169,23.7,120.96,TRUE
70,"Turkey","Tur",26500,1.03,0.81,12.5,0.299,38.96,35.24,TRUE
71,"Ukraine","Ukr",8700,0.24,0.785,6.6,0.1695,48.38,31.17,FALSE
72,"United Kingdom","gbr",43600,0.06,0.15,6.2,0.184,55.38,-3.44,TRUE
73,"United States","usa",59500,3.5,6.69,101,0.271,37.09,-95.71,TRUE
74,"Uruguay","Uru",22400,4.78,4.68,31.8,0,-32.52,-55.77,TRUE
75,"Venezuela","Ven",12400,39,0.48,10.7,0.02,6.42,-66.59,FALSE
76,"Zimbabwe","Zim",2300,0.3,0.09,4.6,0.141,-19.02,29.15,FALSE
