Code,Rank by gun ownership,Country,Guns per 100,Suicide per 100k,GDP,Homicide per 100k,latitude,longitude,Developed
SWZ,85, Swaziland,6.4,14.7,3513.224,8.16,-26.522503,31.465866,no
BOL,116, Bolivia,2.8,18.7,3412.238,12.4,-16.290154,-63.588653,no
CPV,92, Cape Verde,5.4,8.5,3212.921,8.84,16.002082,-24.013197,no
MAR,97, Morocco,5,4.8,3176.53,1.05,31.791702,-7.09262,no
PHL,101, Philippines,4.7,3.4,3022.448,9.84,12.879721,121.774017,no
SDN,91, Sudan,5.5,10.2,2917.395,6.45,12.862807,30.217636,no
BTN,114, Bhutan,3.5,11.7,2886.819,2.75,27.514162,90.433601,no
HND,87, Honduras,6.2,3.6,2729.778,63.75,15.199999,-86.241905,no
PNG,145, Papua New Guinea,1.2,10.3,2689.737,10.42,-6.314993,143.95555,no
LAO,143, Laos,1.2,12.3,2567.502,6.87,19.85627,102.495496,no
UKR,81, Ukraine,6.6,20.1,2458.594,4.36,48.379433,31.16558,no
VNM,125, Vietnam,1.7,7.4,2306.227,1.52,14.058324,108.277199,no
MDA,80, Moldova,7.1,14.8,2240.075,3.19,47.411631,28.369885,no
NIC,74, Nicaragua,7.7,9.5,2201.073,11.49,12.865416,-85.207229,no
TLS,174, Timor-Leste,0.3,7.1,2189.951,3.69,-8.874217,125.727539,no
UZB,133, Uzbekistan,1.5,9.3,2128.21,2.99,41.377491,64.585262,no
NGA,131, Nigeria,1.5,9.9,2092.465,9.79,9.081999,8.675277,no
SLB,173, Solomon Islands,0.4,7.9,2074.15,3.77,-9.64571,160.156194,no
DJI,118, Djibouti,2.8,8.6,2039.908,6.77,11.825138,42.590275,no
IND,107, India,4.2,15.7,1852.088,3.21,20.593684,78.96288,no
COG,119, Congo,2.7,9.6,1793.848,10.88,-0.228021,15.827659,no
KEN,84, Kenya,6.4,6.5,1677.695,5.75,-0.023559,37.906193,no
GHA,172, Ghana,0.4,6.9,1607.739,1.7,7.946527,-1.023194,no
CIV,121, Côte d'Ivoire,2.4,18.1,1598.795,11.84,7.539989,-5.54708,no
BGD,166, Bangladesh,0.5,5.5,1532.132,2.51,23.684994,90.356331,no
ZMB,67, Zambia,8.9,6.4,1483.69,5.85,-13.133897,27.849332,no
LSO,120, Lesotho,2.7,10.4,1413.554,38,-29.609988,28.233608,no
KHM,105, Cambodia,4.3,11.9,1389.631,1.84,12.565679,104.990963,no
MRT,128, Mauritania,1.6,5.9,1284.411,10.22,21.00789,-10.940835,no
MMR,108, Myanmar,4,4.3,1272.035,2.42,21.913965,95.956223,no
CMR,117, Cameroon,2.8,11.9,1262.564,5.93,7.369722,12.354722,no
ZWE,104, Zimbabwe,4.6,10.5,1149.72,6.74,-19.015438,29.154857,no
KGZ,153, Kyrgyzstan,0.9,7.4,1139.574,5.12,41.20438,74.766098,no
TZA,137, Tanzania,1.4,7,1040.505,7.01,-6.369028,34.888822,no
SEN,122, Senegal,2,6.1,998.201,7.3,14.497401,-14.452362,no
ERI,167, Eritrea,0.5,6.7,900.792,7.46,15.179384,39.782334,no
ETH,171, Ethiopia,0.4,8.4,860.557,7.6,9.145,40.489673,no
YEM,3, Yemen,54.8,8.2,856.409,6.67,15.552727,48.516388,no
BEN,134, Benin,1.4,9.4,825.835,6.01,9.30769,2.315834,no
NPL,156,   Nepal,0.8,6,824.229,2.27,28.394857,84.124008,no
TJK,151, Tajikistan,1,4,818.629,1.44,38.861034,71.276093,no
TCD,147, Chad,1.1,8.8,799.355,9.02,15.454166,18.732207,no
MLI,149, Mali,1.1,5.7,793.836,10.82,17.570692,-3.996166,no
COM,124, Comoros,1.8,7.4,777.468,7.6,-11.875001,43.872219,no
GNB,126, Guinea-Bissau,1.6,6.3,761.348,9.17,11.803749,-15.180413,no
HTI,161, Haiti,0.6,11.2,761.191,10.04,18.971187,-72.285215,no
RWA,164, Rwanda,0.6,8.5,754.139,4.51,-1.940278,29.873888,no
GIN,144, Guinea,1.2,7.7,707.989,8.46,9.945587,-9.696645,no
UGA,138, Uganda,1.4,7.2,700.525,11.84,1.373333,32.290275,no
BFA,146, Burkina Faso,1.1,9.2,696.448,0.71,12.238333,-1.561593,no
TGO,152, Togo,1,9.5,621.831,9.14,8.619543,0.824782,no
SLE,165, Sierra Leone,0.6,15.4,593.903,1.92,8.460555,-11.779889,no
AFG,102,Afghanistan,4.6,5.5,572.163,6.55,33.93911,67.709953,no
GMB,154, Gambia,0.8,6.2,488.468,9.07,13.443182,-15.310139,no
LBR,127, Liberia,1.6,6.3,474.984,3.22,6.428055,-9.429499,no
COD,136, Democratic Republic of the Congo,1.4,9.8,466.391,13.36,-4.038333,21.758664,no
NER,159, Niger,0.7,4.1,420.75,4.47,17.607789,8.081666,no
MOZ,96, Mozambique,5.1,8.4,417.927,3.39,-18.665695,35.529562,no
MDG,155, Madagascar,0.8,4.7,412.168,0.62,-18.766947,46.869107,no
CAF,150, Central African Republic,1,17.4,399.787,13.09,6.611111,20.939444,no
BDI,142, Burundi,1.2,8,343.393,4.03,-3.373056,29.918886,no
MWI,158, Malawi,0.7,5.5,326.609,1.78,-13.254308,34.301525,no
